Index,Title,Year,Rating,Comments,
1,Image-Based Differentiation of Bacterial and Fungal Keratitis Using Deep Convolutional Neural Networks,2011,,,
2,Deep learning-based classification system of bacterial keratitis and fungal keratitis using anterior segment images,2023,4,,
3,Deep learning-based classification of infectious keratitis on slit-lamp images,2022,4,bacterial species (33) calssification,
4,An Automated Deep Learning Approach for Bacterial Image Classification,2019,4,bacterial species (33) calssification,
5,Bacterial Image Classification Using Convolutional Neural Networks,2020,4,bacterial species (5) calssification,
6,Classification of Microscopic Images of Bacteria Using Deep Convolutional Neural Network,2018,3,non-eye tissue,
7,"Fungal Keratitis: Diagnosis, Management, and Recent Advances",2024,0,,
8,Automated Gram-staining characterisation of bacterial cells using colour and cell wall properties,2011,5,,
9,Using image processing and automated classification models to classify microscopic gram stain images,2022,1,to check,
10,Classification of Gram-Positive and Gram-Negative Bacteria Using Few-Shot Learning Algorithm,2024,,to check,
11,Machine Learning Model for the Prediction of Gram-Positive and Gram-Negative Bacterial Bloodstream Infection Based on Routine Laboratory Parameters,2023,3,"non-eye, serum sample",
12,Accuracy of artificial intelligence model for infectious keratitis classification: a systematic review and meta-analysis,2023,,,
13,A knowledge‑enhanced transform‑based multimodal classifer for microbial keratitis identifcation,2023,3,,
14,Multimodal Deep Learning for Differentiating Bacterial and Fungal Keratitis Using Prospective Representative Data,2024,3,,
15,Classification of Gram-Positive and Gram-Negative Bacterial Images Based on Machine Learning Algorithm,2022,5,,
16,Artificial Intelligence and Infectious Keratitis: Where Are We Now?,2023,,,
17,Accuracy of artificial intelligence model for infectious keratitis classification: a systematic review and meta-analysis,2023,,,
18,Preventing corneal blindness caused by keratitis using artificial intelligence,2021,,,
19,From the diagnosis of infectious keratitis to discriminating fungal subtypes; a deep learning-based study,2023,,,
20,Preventing corneal blindness caused by keratitis using artiﬁcial intelligence,2021,4,,
21,Vision transformer based bacteria classification model for Gram-stained direct smear images,2025,5,imp in our domain,
22,Development of an AI Algorithm for Automatic Classification of Gram Stain Images in Microbiology,2025,5,imp in our domain and in archive,
23,Machine learning algorithms in microbial classification: a comparative analysis,2023,5,review,
24,Using image processing and automated classification models to classify microscopic gram stain images,2022,4,closely related,
,,,,,
,,,,,
,,,,,
,"Role of artificial intelligence, machine learning and deep learning models in corneal disorders – A narrative review",2024,,not accessible,
,AI model for predicting the diagnosis of infectious keratitis,,,abstract available,
,,,,,
,Preventing corneal blindness caused by keratitis using artiﬁcial intelligencee,2021,,,